location,total_sqft,bath,balcony,price,bedrooms,bed_per_bath,sqft_per_bath
Electronic City Phase II,1056.0,2.0,1.0,39.07,2,1.0,528.0
Chikka Tirupathi,2600.0,5.0,3.0,120.0,4,0.8,520.0
Uttarahalli,1440.0,2.0,3.0,62.0,3,1.5,720.0
Lingadheeranahalli,1521.0,3.0,1.0,95.0,3,1.0,507.0
Kothanur,1200.0,2.0,1.0,51.0,2,1.0,600.0
Whitefield,1170.0,2.0,1.0,38.0,2,1.0,585.0
Marathahalli,1310.0,3.0,1.0,63.25,3,1.0,436.6666666666667
Whitefield,1800.0,2.0,2.0,70.0,3,1.5,900.0
7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2,1.0,500.0
Gottigere,1100.0,2.0,2.0,40.0,2,1.0,550.0
Sarjapur,2250.0,3.0,2.0,148.0,3,1.0,750.0
Mysore Road,1175.0,2.0,2.0,73.5,2,1.0,587.5
Bisuvanahalli,1180.0,3.0,2.0,48.0,3,1.0,393.3333333333333
Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3,1.0,513.3333333333334
other,1100.0,2.0,2.0,48.0,2,1.0,550.0
Kengeri,600.0,1.0,1.0,15.0,1,1.0,600.0
Binny Pete,1755.0,3.0,1.0,122.0,3,1.0,585.0
Bellandur,1767.0,3.0,1.0,103.0,3,1.0,589.0
Thanisandra,510.0,1.0,0.0,25.25,1,1.0,510.0
other,1250.0,3.0,2.0,56.0,3,1.0,416.6666666666667
Electronic City,660.0,1.0,1.0,23.1,2,2.0,660.0
Whitefield,1610.0,3.0,2.0,81.0,3,1.0,536.6666666666666
Ramagondanahalli,1151.0,2.0,2.0,48.77,2,1.0,575.5
Electronic City,1025.0,2.0,1.0,47.0,3,1.5,512.5
Yelahanka,2475.0,4.0,0.0,186.0,4,1.0,618.75
Bisuvanahalli,1075.0,2.0,1.0,35.0,3,1.5,537.5
Hebbal,1760.0,2.0,2.0,123.0,3,1.5,880.0
Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3,1.0,564.3333333333334
Kanakpura Road,700.0,2.0,1.0,36.0,2,1.0,350.0
Electronics City Phase 1,1070.0,2.0,1.0,45.5,2,1.0,535.0
